,city,temp,humidity,clouds,wind_speed,lat,lon
379,parkes,88.7,45,76,3.67,-32.794712847169386,148.00211391967548
380,bilma,43.57,43,0,1.22,19.625500003323737,11.239401417201435
381,gigmoto,78.85,100,0,10.67,14.704736318717622,126.0771264407648
382,boa vista,67.64,93,20,1.17,3.9920857012622832,-63.19051837003116
383,mantua,77.9,100,0,3.07,22.732027390887637,-85.47478863355127
384,fort nelson,-13.63,56,56,3.02,59.30567183244031,-125.82904105658632
385,tsiroanomandidy,70.84,91,12,1.22,-17.858154090306854,44.605416703764774
386,punta gorda,75.2,88,20,3.22,16.01416679666991,-88.9255008201784
387,xam nua,64.4,86,0,1.17,20.684689508740732,104.48218977058337
388,tchollire,59.14,60,0,1.82,7.749967547207177,14.385214301972951
389,itarema,79.03,100,76,3.87,-0.6516146841640023,-39.55439421643271
390,port lincoln,43.07,96,44,12.57,-52.084555497697465,128.14361423968938
391,saint george,71.74,100,80,3.62,26.281605421846606,-58.985238626243216
392,bulawayo,69.94,62,8,5.82,-20.08087060887597,28.383834377615244
393,zeya,-16.06,69,0,1.32,54.35211584110493,128.68738788843496
394,davila,77.23,96,0,8.87,18.743088689634888,119.23391632148059
395,marcona,70.07,100,48,4.17,-22.973860049815045,-84.9675784710684
396,muros,55.67,100,8,12.97,42.01853991543342,-12.909743711586998
397,mahon,57.92,93,12,8.07,40.597843987154334,5.8816232246514915
398,bayshore gardens,71.38,100,76,4.32,26.043530375375994,-85.69575858627498
399,dunedin,46.31,96,88,17.57,-55.561408541072154,177.8774485553086
400,satitoa,83.44,100,88,5.37,-14.753727156668504,-165.15758324337315
401,nemuro,55.45,100,56,15.47,34.784822951458395,153.03562116252579
402,huarmey,73.22,100,0,2.52,-13.84505190412159,-84.39215929468172
403,belushya guba,-41.08,0,0,0.72,73.29820628591011,55.09936503642163
404,sokolo,57.7,39,0,1.92,16.801773033618375,-5.937222217323836
405,tanete,83.21,100,12,0.52,-5.675915178362118,120.42815476652873
406,tabalosos,62.6,290,20,0.77,-6.023920115089808,-76.50830046006509
407,zhezkazgan,-9.17,65,8,1.32,48.59532282059084,67.96590936946015
408,saint-pierre,55.76,100,64,8.42,39.83947377382373,-55.93649357924609
409,isangel,79.34,100,92,6.52,-20.375239730060827,177.8958216709487
410,monte cristi,76.78,100,80,9.97,20.56968495839169,-71.2023415665635
411,cidreira,77.09,97,64,2.72,-32.44312817168687,-48.392758127427754
412,los llanos de aridane,64.72,100,20,6.67,31.42618976231742,-23.692033043782686
413,berlevag,12.25,88,80,9.02,82.21270297418297,30.72264146056162
414,san andres,79.34,100,88,4.87,11.840837887303863,-81.64621417763954
415,guatire,78.35,98,8,8.77,11.714517201351512,-65.79852684167429
416,yartsevo,32.09,99,80,3.37,55.32650255193528,32.74396625629382
417,karratha,86.0,74,0,4.6,-20.685231001154307,115.86891500092196
418,kilindoni,82.49,100,48,4.12,-7.89404452275204,40.78771337897538
419,key west,70.52,92,0,6.22,25.27403247056037,-81.9789003015934
420,aqtobe,-7.6,83,0,1.0,50.177798966350025,56.59606907853916
421,yar-sale,-12.55,62,0,3.62,73.5358213731478,70.31018632852667
422,sheffield lake,9.25,72,1,2.6,41.54117345803451,-82.10530253809989
423,muravlenko,-50.98,0,0,1.37,64.25320598345382,72.60150558348792
424,galesong,82.67,100,24,4.32,-5.550804555899788,116.91038319063239
425,dangriga,78.71,100,92,6.52,16.606588743366956,-87.60772119992389
